ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date
1,10,10,10,10,06/06/2010,18/06/2010,17/08/2010,30/08/2010
2,9,10,10,,15/12/2009,20/01/2010,31/05/2010,
3,,10,10,,09/06/2010,09/06/2010,26/10/2010,
4,10,,10,,06/01/2011,06/01/2011,,
5,10,,10,,13/05/2010,24/05/2010,27/05/2010,01/06/2010
6,10,,,,19/08/2010,15/12/2010,,
7,,,9,,06/04/2010,06/04/2010,06/04/2010,
8,10,9,,,20/09/2010,04/10/2010,,
9,9,10,9,,19/02/2010,12/04/2010,17/05/2010,17/07/2010
10,9,,8,,26/04/2010,30/04/2010,09/05/2010,31/05/2010
11,,10,10,,14/09/2010,21/09/2010,26/09/2010,28/09/2010
12,8,8,,8,14/05/2010,24/05/2010,02/06/2010,30/09/2010
13,10,10,,,25/05/2010,01/06/2010,03/12/2010,
14,10,10,9,10,02/04/2010,28/05/2010,02/09/2010,
15,,6,,10,21/09/2010,14/10/2010,14/10/2010,
16,10,10,,,05/05/2010,17/05/2010,26/05/2010,
17,10,10,9,10,05/05/2010,28/05/2010,01/06/2010,
18,,10,,,25/05/2010,,,
19,10,10,10,10,22/03/2010,18/05/2010,25/05/2010,31/05/2010
20,10,,,,22/04/2010,07/05/2010,12/05/2010,19/05/2010
21,,,,,03/05/2010,16/05/2010,31/05/2010,22/09/2010
22,9,10,10,9,29/12/2009,16/01/2010,27/10/2010,
23,8,,,,17/09/2010,22/09/2010,23/09/2010,26/09/2010
24,10,10,10,9,13/05/2010,13/06/2010,22/09/2010,31/10/2010
25,,,,10,31/05/2010,17/09/2010,31/10/2010,
26,9,9,9,10,18/03/2010,23/03/2010,11/04/2010,24/05/2010
27,10,10,10,10,22/04/2010,21/09/2010,,
28,10,10,10,10,28/04/2010,06/05/2010,14/05/2010,26/05/2010
29,9,9,,,02/05/2010,21/05/2010,31/05/2010,28/09/2010
30,10,9,9,9,26/05/2010,31/05/2010,07/06/2010,27/09/2010
31,10,10,9,10,24/05/2010,01/06/2010,20/09/2010,30/09/2010
32,10,10,10,10,20/04/2010,23/04/2010,30/04/2010,16/05/2010
33,10,,9,10,08/06/2010,08/10/2010,,
34,10,,9,10,14/05/2010,15/06/2010,,
35,9,10,10,10,11/05/2010,31/05/2010,21/09/2010,19/10/2010
36,10,10,10,8,22/03/2010,02/06/2010,18/05/2010,26/05/2010
37,10,10,10,10,16/04/2010,23/05/2010,01/06/2010,20/09/2010
38,10,,,,17/05/2010,24/05/2010,01/06/2010,
39,10,10,,8,07/05/2010,15/06/2010,15/06/2010,19/05/2010
40,9,8,,8,13/03/2010,18/03/2010,25/03/2010,19/05/2010
41,9,9,6,9,30/09/2010,13/10/2010,,
42,10,10,10,10,03/03/2010,13/03/2010,08/04/2010,04/09/2010
43,,9,,,25/05/2010,25/05/2010,27/05/2010,29/05/2010
